,section_label,row_label,old_seat_number,seat_center_x,seat_center_y,venuesid,seatsid,unique_indicator,seat_number
63,101,R,5,3325,1766,1,1101R5,101R,6.0
64,101,YY,8,3289,1568,1,1101YY8,101YY,3.0
65,101,WW,12,3301,1604,1,1101WW12,101WW,4.0
66,101,K,5,3301,1874,1,1101K5,101K,4.0
67,101,Y,6,3349,1658,1,1101Y6,101Y,8.0
68,101,XX,2,3421,1586,1,1101XX2,101XX,14.0
69,101,T,3,3361,1730,1,1101T3,101T,9.0
70,101,YY,7,3301,1568,1,1101YY7,101YY,4.0
71,101,R,2,3361,1766,1,1101R2,101R,9.0
72,101,S,1,3385,1748,1,1101S1,101S,11.0
73,101,H,6,3289,1910,1,1101H6,101H,3.0
74,101,K,6,3289,1874,1,1101K6,101K,3.0
75,101,C,3,3313,2000,1,1101C3,101C,5.0
76,101,WW,5,3385,1604,1,1101WW5,101WW,11.0
77,101,R,10,3265,1766,1,1101R10,101R,1.0
78,101,P,5,3325,1802,1,1101P5,101P,6.0
79,101,P,2,3361,1802,1,1101P2,101P,9.0
80,101,H,4,3313,1910,1,1101H4,101H,5.0
81,101,V,9,3301,1712,1,1101V9,101V,4.0
82,101,XX,1,3433,1586,1,1101XX1,101XX,15.0
83,101,VV,5,3373,1622,1,1101VV5,101VV,10.0
84,101,G,1,3349,1928,1,1101G1,101G,8.0
85,101,WW,3,3409,1604,1,1101WW3,101WW,13.0
86,101,V,1,3397,1712,1,1101V1,101V,12.0
87,101,Y,12,3277,1658,1,1101Y12,101Y,2.0
88,101,J,4,3313,1892,1,1101J4,101J,5.0
89,101,T,9,3289,1730,1,1101T9,101T,3.0
90,101,D,2,3325,1982,1,1101D2,101D,6.0
91,101,XX,8,3349,1586,1,1101XX8,101XX,8.0
92,101,E,7,3277,1964,1,1101E7,101E,2.0
93,101,W,9,3301,1694,1,1101W9,101W,4.0
94,101,Q,3,3349,1784,1,1101Q3,101Q,8.0
95,101,XX,6,3373,1586,1,1101XX6,101XX,10.0
96,101,Y,5,3361,1658,1,1101Y5,101Y,9.0
97,101,N,4,3337,1820,1,1101N4,101N,7.0
98,101,S,10,3277,1748,1,1101S10,101S,2.0
99,101,Z,9,3325,1640,1,1101Z9,101Z,6.0
100,101,Z,13,3277,1640,1,1101Z13,101Z,2.0
101,101,M,5,3313,1838,1,1101M5,101M,5.0
102,101,H,2,3337,1910,1,1101H2,101H,7.0
103,101,VV,4,3385,1622,1,1101VV4,101VV,11.0
104,101,WW,4,3397,1604,1,1101WW4,101WW,12.0
105,101,YY,9,3277,1568,1,1101YY9,101YY,2.0
106,101,XX,3,3409,1586,1,1101XX3,101XX,13.0
107,101,K,7,3277,1874,1,1101K7,101K,2.0
108,101,H,5,3301,1910,1,1101H5,101H,4.0
109,101,S,3,3361,1748,1,1101S3,101S,9.0
110,101,E,1,3349,1964,1,1101E1,101E,8.0
111,101,J,8,3265,1892,1,1101J8,101J,1.0
112,101,WW,15,3265,1604,1,1101WW15,101WW,1.0
113,101,V,2,3385,1712,1,1101V2,101V,11.0
114,101,X,5,3361,1676,1,1101X5,101X,9.0
115,101,XX,7,3361,1586,1,1101XX7,101XX,9.0
116,101,F,5,3289,1946,1,1101F5,101F,3.0
117,101,K,1,3349,1874,1,1101K1,101K,8.0
118,101,Z,4,3385,1640,1,1101Z4,101Z,11.0
119,101,XX,12,3301,1586,1,1101XX12,101XX,4.0
120,101,B,1,3325,2018,1,1101B1,101B,6.0
121,101,WW,6,3373,1604,1,1101WW6,101WW,10.0
122,101,Z,8,3337,1640,1,1101Z8,101Z,7.0
123,101,W,7,3325,1694,1,1101W7,101W,6.0
124,101,G,4,3313,1928,1,1101G4,101G,5.0
125,101,E,4,3313,1964,1,1101E4,101E,5.0
126,101,L,1,3361,1856,1,1101L1,101L,9.0
127,101,R,1,3373,1766,1,1101R1,101R,10.0
128,101,V,10,3289,1712,1,1101V10,101V,3.0
129,101,J,3,3325,1892,1,1101J3,101J,6.0
130,101,V,3,3373,1712,1,1101V3,101V,10.0
131,101,T,5,3337,1730,1,1101T5,101T,7.0
132,101,X,10,3301,1676,1,1101X10,101X,4.0
133,101,P,6,3313,1802,1,1101P6,101P,5.0
134,101,WW,8,3349,1604,1,1101WW8,101WW,8.0
135,101,B,2,3313,2018,1,1101B2,101B,5.0
136,101,Z,6,3361,1640,1,1101Z6,101Z,9.0
137,101,X,2,3397,1676,1,1101X2,101X,12.0
138,101,D,1,3337,1982,1,1101D1,101D,7.0
139,101,C,5,3289,2000,1,1101C5,101C,3.0
140,101,S,6,3325,1748,1,1101S6,101S,6.0
141,101,P,4,3337,1802,1,1101P4,101P,7.0
142,101,XX,4,3397,1586,1,1101XX4,101XX,12.0
143,101,XX,14,3277,1586,1,1101XX14,101XX,2.0
144,101,F,7,3265,1946,1,1101F7,101F,1.0
145,101,B,6,3265,2018,1,1101B6,101B,1.0
146,101,L,7,3289,1856,1,1101L7,101L,3.0
147,101,W,5,3349,1694,1,1101W5,101W,8.0
148,101,C,7,3265,2000,1,1101C7,101C,1.0
149,101,P,3,3349,1802,1,1101P3,101P,8.0
150,101,X,8,3325,1676,1,1101X8,101X,6.0
151,101,Z,11,3301,1640,1,1101Z11,101Z,4.0
152,101,R,3,3349,1766,1,1101R3,101R,8.0
153,101,Q,6,3313,1784,1,1101Q6,101Q,5.0
154,101,F,3,3313,1946,1,1101F3,101F,5.0
155,101,P,1,3373,1802,1,1101P1,101P,10.0
156,101,Y,13,3265,1658,1,1101Y13,101Y,1.0
157,101,R,6,3313,1766,1,1101R6,101R,5.0
158,101,M,1,3361,1838,1,1101M1,101M,9.0
159,101,Q,10,3265,1784,1,1101Q10,101Q,1.0
160,101,N,10,3265,1820,1,1101N10,101N,1.0
161,101,V,7,3325,1712,1,1101V7,101V,6.0
162,101,N,7,3301,1820,1,1101N7,101N,4.0
163,101,S,7,3313,1748,1,1101S7,101S,5.0
164,101,Q,1,3373,1784,1,1101Q1,101Q,10.0
165,101,Q,9,3277,1784,1,1101Q9,101Q,2.0
166,101,X,9,3313,1676,1,1101X9,101X,5.0
167,101,V,11,3277,1712,1,1101V11,101V,2.0
168,101,YY,2,3361,1568,1,1101YY2,101YY,9.0
169,101,M,4,3325,1838,1,1101M4,101M,6.0
170,101,Q,2,3361,1784,1,1101Q2,101Q,9.0
171,101,B,5,3277,2018,1,1101B5,101B,2.0
172,101,YY,4,3337,1568,1,1101YY4,101YY,7.0
173,101,XX,5,3385,1586,1,1101XX5,101XX,11.0
174,101,VV,10,3313,1622,1,1101VV10,101VV,5.0
175,101,Y,3,3385,1658,1,1101Y3,101Y,11.0
176,101,T,4,3349,1730,1,1101T4,101T,8.0
177,101,Z,2,3409,1640,1,1101Z2,101Z,13.0
178,101,Y,2,3397,1658,1,1101Y2,101Y,12.0
179,101,VV,3,3397,1622,1,1101VV3,101VV,12.0
180,101,XX,15,3265,1586,1,1101XX15,101XX,1.0
181,101,L,4,3325,1856,1,1101L4,101L,6.0
182,101,S,9,3289,1748,1,1101S9,101S,3.0
183,101,X,13,3265,1676,1,1101X13,101X,1.0
184,101,S,4,3349,1748,1,1101S4,101S,8.0
185,101,B,4,3289,2018,1,1101B4,101B,3.0
186,101,X,1,3409,1676,1,1101X1,101X,13.0
187,101,Y,9,3313,1658,1,1101Y9,101Y,5.0
188,101,VV,9,3325,1622,1,1101VV9,101VV,6.0
189,101,VV,12,3289,1622,1,1101VV12,101VV,3.0
190,101,Q,7,3301,1784,1,1101Q7,101Q,4.0
191,101,G,2,3337,1928,1,1101G2,101G,7.0
192,101,T,2,3373,1730,1,1101T2,101T,10.0
193,101,K,2,3337,1874,1,1101K2,101K,7.0
194,101,X,11,3289,1676,1,1101X11,101X,3.0
195,101,Y,11,3289,1658,1,1101Y11,101Y,3.0
196,101,W,10,3289,1694,1,1101W10,101W,3.0
197,101,J,6,3289,1892,1,1101J6,101J,3.0
198,101,XX,13,3289,1586,1,1101XX13,101XX,3.0
199,101,W,2,3385,1694,1,1101W2,101W,11.0
200,101,F,6,3277,1946,1,1101F6,101F,2.0
201,101,F,1,3337,1946,1,1101F1,101F,7.0
202,101,B,3,3301,2018,1,1101B3,101B,4.0
203,101,VV,11,3301,1622,1,1101VV11,101VV,4.0
204,101,M,6,3301,1838,1,1101M6,101M,4.0
205,101,G,5,3301,1928,1,1101G5,101G,4.0
206,101,T,6,3325,1730,1,1101T6,101T,6.0
207,101,Q,4,3337,1784,1,1101Q4,101Q,7.0
208,101,D,5,3289,1982,1,1101D5,101D,3.0
209,101,J,5,3301,1892,1,1101J5,101J,4.0
210,101,H,8,3265,1910,1,1101H8,101H,1.0
211,101,P,7,3301,1802,1,1101P7,101P,4.0
212,101,F,4,3301,1946,1,1101F4,101F,4.0
213,101,E,6,3289,1964,1,1101E6,101E,3.0
214,101,N,3,3349,1820,1,1101N3,101N,8.0
215,101,N,9,3277,1820,1,1101N9,101N,2.0
216,101,VV,1,3421,1622,1,1101VV1,101VV,14.0
217,101,Y,4,3373,1658,1,1101Y4,101Y,10.0
218,101,E,5,3301,1964,1,1101E5,101E,4.0
219,101,Z,3,3397,1640,1,1101Z3,101Z,12.0
220,101,V,6,3337,1712,1,1101V6,101V,7.0
221,101,XX,11,3313,1586,1,1101XX11,101XX,5.0
222,101,N,1,3373,1820,1,1101N1,101N,10.0
223,101,W,8,3313,1694,1,1101W8,101W,5.0
224,101,VV,14,3265,1622,1,1101VV14,101VV,1.0
225,101,D,4,3301,1982,1,1101D4,101D,4.0
226,101,E,2,3337,1964,1,1101E2,101E,7.0
227,101,N,6,3313,1820,1,1101N6,101N,5.0
228,101,YY,3,3349,1568,1,1101YY3,101YY,8.0
229,101,E,8,3265,1964,1,1101E8,101E,1.0
230,101,P,10,3265,1802,1,1101P10,101P,1.0
231,101,WW,13,3289,1604,1,1101WW13,101WW,3.0
232,101,WW,1,3433,1604,1,1101WW1,101WW,15.0
233,101,G,3,3325,1928,1,1101G3,101G,6.0
234,101,E,3,3325,1964,1,1101E3,101E,6.0
235,101,H,1,3349,1910,1,1101H1,101H,8.0
236,101,N,5,3325,1820,1,1101N5,101N,6.0
237,101,L,6,3301,1856,1,1101L6,101L,4.0
238,101,H,7,3277,1910,1,1101H7,101H,2.0
239,101,Z,12,3289,1640,1,1101Z12,101Z,3.0
240,101,R,9,3277,1766,1,1101R9,101R,2.0
241,101,V,4,3361,1712,1,1101V4,101V,9.0
242,101,W,3,3373,1694,1,1101W3,101W,10.0
243,101,VV,2,3409,1622,1,1101VV2,101VV,13.0
244,101,W,11,3277,1694,1,1101W11,101W,2.0
245,101,Y,8,3325,1658,1,1101Y8,101Y,6.0
246,101,C,2,3325,2000,1,1101C2,101C,6.0
247,101,W,6,3337,1694,1,1101W6,101W,7.0
248,101,N,8,3289,1820,1,1101N8,101N,3.0
249,101,YY,5,3325,1568,1,1101YY5,101YY,6.0
250,101,D,7,3265,1982,1,1101D7,101D,1.0
251,101,F,2,3325,1946,1,1101F2,101F,6.0
252,101,M,2,3349,1838,1,1101M2,101M,8.0
253,101,Z,1,3421,1640,1,1101Z1,101Z,14.0
254,101,T,11,3265,1730,1,1101T11,101T,1.0
255,101,Z,10,3313,1640,1,1101Z10,101Z,5.0
256,101,XX,9,3337,1586,1,1101XX9,101XX,7.0
257,101,M,8,3277,1838,1,1101M8,101M,2.0
258,101,S,11,3265,1748,1,1101S11,101S,1.0
259,101,Z,14,3265,1640,1,1101Z14,101Z,1.0
260,101,L,5,3313,1856,1,1101L5,101L,5.0
261,101,X,7,3337,1676,1,1101X7,101X,7.0
262,101,G,8,3265,1928,1,1101G8,101G,1.0
263,101,WW,7,3361,1604,1,1101WW7,101WW,9.0
264,101,S,2,3373,1748,1,1101S2,101S,10.0
