section_label,row_label,seat_number,seat_center_x,seat_center_y,venuesid,seatsid
101,K,4,3313,1874,1,1-101-K-4
101,P,9,3277,1802,1,1-101-P-9
101,V,12,3265,1712,1,1-101-V-12
101,D,3,3313,1982,1,1-101-D-3
101,Z,7,3349,1640,1,1-101-Z-7
101,YY,6,3313,1568,1,1-101-YY-6
101,Y,10,3301,1658,1,1-101-Y-10
101,X,12,3277,1676,1,1-101-X-12
101,C,4,3301,2000,1,1-101-C-4
101,V,5,3349,1712,1,1-101-V-5
101,X,3,3385,1676,1,1-101-X-3
101,T,1,3385,1730,1,1-101-T-1
101,R,5,3325,1766,1,1-101-R-5
101,YY,8,3289,1568,1,1-101-YY-8
101,WW,12,3301,1604,1,1-101-WW-12
101,K,5,3301,1874,1,1-101-K-5
101,Y,6,3349,1658,1,1-101-Y-6
101,XX,2,3421,1586,1,1-101-XX-2
101,T,3,3361,1730,1,1-101-T-3
101,YY,7,3301,1568,1,1-101-YY-7
101,R,2,3361,1766,1,1-101-R-2
101,S,1,3385,1748,1,1-101-S-1
101,H,6,3289,1910,1,1-101-H-6
101,K,6,3289,1874,1,1-101-K-6
101,C,3,3313,2000,1,1-101-C-3
101,WW,5,3385,1604,1,1-101-WW-5
101,R,10,3265,1766,1,1-101-R-10
101,P,5,3325,1802,1,1-101-P-5
101,P,2,3361,1802,1,1-101-P-2
101,H,4,3313,1910,1,1-101-H-4
101,V,9,3301,1712,1,1-101-V-9
101,XX,1,3433,1586,1,1-101-XX-1
101,VV,5,3373,1622,1,1-101-VV-5
101,G,1,3349,1928,1,1-101-G-1
101,WW,3,3409,1604,1,1-101-WW-3
101,V,1,3397,1712,1,1-101-V-1
101,Y,12,3277,1658,1,1-101-Y-12
101,J,4,3313,1892,1,1-101-J-4
101,T,9,3289,1730,1,1-101-T-9
101,D,2,3325,1982,1,1-101-D-2
101,XX,8,3349,1586,1,1-101-XX-8
101,E,7,3277,1964,1,1-101-E-7
101,W,9,3301,1694,1,1-101-W-9
101,Q,3,3349,1784,1,1-101-Q-3
101,XX,6,3373,1586,1,1-101-XX-6
101,Y,5,3361,1658,1,1-101-Y-5
101,N,4,3337,1820,1,1-101-N-4
101,S,10,3277,1748,1,1-101-S-10
101,Z,9,3325,1640,1,1-101-Z-9
101,Z,13,3277,1640,1,1-101-Z-13
101,M,5,3313,1838,1,1-101-M-5
101,H,2,3337,1910,1,1-101-H-2
101,VV,4,3385,1622,1,1-101-VV-4
101,WW,4,3397,1604,1,1-101-WW-4
101,YY,9,3277,1568,1,1-101-YY-9
101,XX,3,3409,1586,1,1-101-XX-3
101,K,7,3277,1874,1,1-101-K-7
101,H,5,3301,1910,1,1-101-H-5
101,S,3,3361,1748,1,1-101-S-3
101,E,1,3349,1964,1,1-101-E-1
101,J,8,3265,1892,1,1-101-J-8
101,WW,15,3265,1604,1,1-101-WW-15
101,V,2,3385,1712,1,1-101-V-2
101,X,5,3361,1676,1,1-101-X-5
101,XX,7,3361,1586,1,1-101-XX-7
101,F,5,3289,1946,1,1-101-F-5
101,K,1,3349,1874,1,1-101-K-1
101,Z,4,3385,1640,1,1-101-Z-4
101,XX,12,3301,1586,1,1-101-XX-12
101,B,1,3325,2018,1,1-101-B-1
101,WW,6,3373,1604,1,1-101-WW-6
101,Z,8,3337,1640,1,1-101-Z-8
101,W,7,3325,1694,1,1-101-W-7
101,G,4,3313,1928,1,1-101-G-4
101,E,4,3313,1964,1,1-101-E-4
101,L,1,3361,1856,1,1-101-L-1
101,R,1,3373,1766,1,1-101-R-1
101,V,10,3289,1712,1,1-101-V-10
101,J,3,3325,1892,1,1-101-J-3
101,V,3,3373,1712,1,1-101-V-3
101,T,5,3337,1730,1,1-101-T-5
101,X,10,3301,1676,1,1-101-X-10
101,P,6,3313,1802,1,1-101-P-6
101,WW,8,3349,1604,1,1-101-WW-8
101,B,2,3313,2018,1,1-101-B-2
101,Z,6,3361,1640,1,1-101-Z-6
101,X,2,3397,1676,1,1-101-X-2
101,D,1,3337,1982,1,1-101-D-1
101,C,5,3289,2000,1,1-101-C-5
101,S,6,3325,1748,1,1-101-S-6
101,P,4,3337,1802,1,1-101-P-4
101,XX,4,3397,1586,1,1-101-XX-4
101,XX,14,3277,1586,1,1-101-XX-14
101,F,7,3265,1946,1,1-101-F-7
101,B,6,3265,2018,1,1-101-B-6
101,L,7,3289,1856,1,1-101-L-7
101,W,5,3349,1694,1,1-101-W-5
101,C,7,3265,2000,1,1-101-C-7
101,P,3,3349,1802,1,1-101-P-3
101,X,8,3325,1676,1,1-101-X-8
101,Z,11,3301,1640,1,1-101-Z-11
101,R,3,3349,1766,1,1-101-R-3
101,Q,6,3313,1784,1,1-101-Q-6
101,F,3,3313,1946,1,1-101-F-3
101,P,1,3373,1802,1,1-101-P-1
101,Y,13,3265,1658,1,1-101-Y-13
101,R,6,3313,1766,1,1-101-R-6
101,M,1,3361,1838,1,1-101-M-1
101,Q,10,3265,1784,1,1-101-Q-10
101,N,10,3265,1820,1,1-101-N-10
101,V,7,3325,1712,1,1-101-V-7
101,N,7,3301,1820,1,1-101-N-7
101,S,7,3313,1748,1,1-101-S-7
101,Q,1,3373,1784,1,1-101-Q-1
101,Q,9,3277,1784,1,1-101-Q-9
101,X,9,3313,1676,1,1-101-X-9
101,V,11,3277,1712,1,1-101-V-11
101,YY,2,3361,1568,1,1-101-YY-2
101,M,4,3325,1838,1,1-101-M-4
101,Q,2,3361,1784,1,1-101-Q-2
101,B,5,3277,2018,1,1-101-B-5
101,YY,4,3337,1568,1,1-101-YY-4
101,XX,5,3385,1586,1,1-101-XX-5
101,VV,10,3313,1622,1,1-101-VV-10
101,Y,3,3385,1658,1,1-101-Y-3
101,T,4,3349,1730,1,1-101-T-4
101,Z,2,3409,1640,1,1-101-Z-2
101,Y,2,3397,1658,1,1-101-Y-2
101,VV,3,3397,1622,1,1-101-VV-3
101,XX,15,3265,1586,1,1-101-XX-15
101,L,4,3325,1856,1,1-101-L-4
101,S,9,3289,1748,1,1-101-S-9
101,X,13,3265,1676,1,1-101-X-13
101,S,4,3349,1748,1,1-101-S-4
101,B,4,3289,2018,1,1-101-B-4
101,X,1,3409,1676,1,1-101-X-1
101,Y,9,3313,1658,1,1-101-Y-9
101,VV,9,3325,1622,1,1-101-VV-9
101,VV,12,3289,1622,1,1-101-VV-12
101,Q,7,3301,1784,1,1-101-Q-7
101,G,2,3337,1928,1,1-101-G-2
101,T,2,3373,1730,1,1-101-T-2
101,K,2,3337,1874,1,1-101-K-2
101,X,11,3289,1676,1,1-101-X-11
101,Y,11,3289,1658,1,1-101-Y-11
101,W,10,3289,1694,1,1-101-W-10
101,J,6,3289,1892,1,1-101-J-6
101,XX,13,3289,1586,1,1-101-XX-13
101,W,2,3385,1694,1,1-101-W-2
101,F,6,3277,1946,1,1-101-F-6
101,F,1,3337,1946,1,1-101-F-1
101,B,3,3301,2018,1,1-101-B-3
101,VV,11,3301,1622,1,1-101-VV-11
101,M,6,3301,1838,1,1-101-M-6
101,G,5,3301,1928,1,1-101-G-5
101,T,6,3325,1730,1,1-101-T-6
101,Q,4,3337,1784,1,1-101-Q-4
101,D,5,3289,1982,1,1-101-D-5
101,J,5,3301,1892,1,1-101-J-5
101,H,8,3265,1910,1,1-101-H-8
101,P,7,3301,1802,1,1-101-P-7
101,F,4,3301,1946,1,1-101-F-4
101,E,6,3289,1964,1,1-101-E-6
101,N,3,3349,1820,1,1-101-N-3
101,N,9,3277,1820,1,1-101-N-9
101,VV,1,3421,1622,1,1-101-VV-1
101,Y,4,3373,1658,1,1-101-Y-4
101,E,5,3301,1964,1,1-101-E-5
101,Z,3,3397,1640,1,1-101-Z-3
101,V,6,3337,1712,1,1-101-V-6
101,XX,11,3313,1586,1,1-101-XX-11
101,N,1,3373,1820,1,1-101-N-1
101,W,8,3313,1694,1,1-101-W-8
101,VV,14,3265,1622,1,1-101-VV-14
101,D,4,3301,1982,1,1-101-D-4
101,E,2,3337,1964,1,1-101-E-2
101,N,6,3313,1820,1,1-101-N-6
101,YY,3,3349,1568,1,1-101-YY-3
101,E,8,3265,1964,1,1-101-E-8
101,P,10,3265,1802,1,1-101-P-10
101,WW,13,3289,1604,1,1-101-WW-13
101,WW,1,3433,1604,1,1-101-WW-1
101,G,3,3325,1928,1,1-101-G-3
101,E,3,3325,1964,1,1-101-E-3
101,H,1,3349,1910,1,1-101-H-1
101,N,5,3325,1820,1,1-101-N-5
101,L,6,3301,1856,1,1-101-L-6
101,H,7,3277,1910,1,1-101-H-7
101,Z,12,3289,1640,1,1-101-Z-12
101,R,9,3277,1766,1,1-101-R-9
101,V,4,3361,1712,1,1-101-V-4
101,W,3,3373,1694,1,1-101-W-3
101,VV,2,3409,1622,1,1-101-VV-2
101,W,11,3277,1694,1,1-101-W-11
101,Y,8,3325,1658,1,1-101-Y-8
101,C,2,3325,2000,1,1-101-C-2
101,W,6,3337,1694,1,1-101-W-6
101,N,8,3289,1820,1,1-101-N-8
101,YY,5,3325,1568,1,1-101-YY-5
101,D,7,3265,1982,1,1-101-D-7
101,F,2,3325,1946,1,1-101-F-2
101,M,2,3349,1838,1,1-101-M-2
101,Z,1,3421,1640,1,1-101-Z-1
101,T,11,3265,1730,1,1-101-T-11
101,Z,10,3313,1640,1,1-101-Z-10
101,XX,9,3337,1586,1,1-101-XX-9
101,M,8,3277,1838,1,1-101-M-8
101,S,11,3265,1748,1,1-101-S-11
101,Z,14,3265,1640,1,1-101-Z-14
101,L,5,3313,1856,1,1-101-L-5
101,X,7,3337,1676,1,1-101-X-7
101,G,8,3265,1928,1,1-101-G-8
101,WW,7,3361,1604,1,1-101-WW-7
101,S,2,3373,1748,1,1-101-S-2
